ts,recibidos,med,mad,upper_cap,is_peak
2022-01-01 00:00:00,5,14.0,6.0,35.0,0
2022-01-01 01:00:00,8,7.0,3.0,17.5,0
2022-01-01 02:00:00,3,4.0,2.0,11.0,0
2022-01-01 03:00:00,5,2.5,1.5,7.75,0
2022-01-01 04:00:00,2,2.0,1.0,5.5,0
2022-01-01 05:00:00,3,2.0,1.0,5.5,0
2022-01-01 06:00:00,3,5.0,2.0,12.0,0
2022-01-01 07:00:00,9,16.0,7.0,40.5,0
2022-01-01 08:00:00,18,53.0,14.0,102.0,0
2022-01-01 09:00:00,39,94.5,21.0,168.0,0
2022-01-01 10:00:00,59,124.0,27.0,218.5,0
2022-01-01 11:00:00,94,131.5,27.5,227.75,0
2022-01-01 12:00:00,100,123.5,27.5,219.75,0
2022-01-01 13:00:00,107,114.0,25.0,201.5,0
2022-01-01 14:00:00,163,107.5,27.5,203.75,0
2022-01-01 15:00:00,211,102.0,25.5,191.25,1
2022-01-01 16:00:00,229,99.5,24.5,185.25,1
2022-01-01 17:00:00,269,96.5,25.5,185.75,1
2022-01-01 18:00:00,361,100.5,34.0,219.5,1
2022-01-01 19:00:00,657,91.0,24.0,175.0,1
2022-01-01 20:00:00,628,88.5,29.0,190.0,1
2022-01-01 21:00:00,563,82.5,26.5,175.25,1
2022-01-01 22:00:00,401,52.0,19.5,120.25,1
2022-01-01 23:00:00,227,30.5,10.5,67.25,1
2022-01-02 00:00:00,93,14.0,6.0,35.0,1
2022-01-02 01:00:00,25,8.0,4.0,22.0,1
2022-01-02 02:00:00,13,4.0,2.0,11.0,1
2022-01-02 03:00:00,13,3.0,2.0,10.0,1
2022-01-02 04:00:00,6,2.0,1.0,5.5,1
2022-01-02 05:00:00,9,2.0,1.0,5.5,1
2022-01-02 06:00:00,29,3.0,2.0,10.0,1
2022-01-02 07:00:00,84,12.0,5.0,29.5,1
2022-01-02 08:00:00,281,35.5,11.5,75.75,1
2022-01-02 09:00:00,514,67.0,21.0,140.5,1
2022-01-02 10:00:00,769,89.0,28.5,188.75,1
2022-01-02 11:00:00,844,88.0,24.0,172.0,1
2022-01-02 12:00:00,726,91.5,27.0,186.0,1
2022-01-02 13:00:00,593,83.5,27.0,178.0,1
2022-01-02 14:00:00,484,78.5,22.5,157.25,1
2022-01-02 15:00:00,455,70.0,22.0,147.0,1
2022-01-02 16:00:00,477,73.0,23.5,155.25,1
2022-01-02 17:00:00,462,77.0,27.5,173.25,1
2022-01-02 18:00:00,426,92.0,40.0,232.0,1
2022-01-02 19:00:00,306,101.0,39.0,237.5,1
2022-01-02 20:00:00,273,102.0,35.0,224.5,1
2022-01-02 21:00:00,250,97.0,32.0,209.0,1
2022-01-02 22:00:00,198,63.0,20.0,133.0,1
2022-01-02 23:00:00,82,29.0,9.0,60.5,1
2022-01-03 00:00:00,19,14.0,5.0,31.5,0
2022-01-03 01:00:00,12,5.0,2.0,12.0,0
2022-01-03 02:00:00,5,3.0,2.0,10.0,0
2022-01-03 03:00:00,5,2.0,1.0,5.5,0
2022-01-03 04:00:00,1,2.0,1.0,5.5,0
2022-01-03 05:00:00,1,3.0,1.0,6.5,0
2022-01-03 06:00:00,18,8.0,4.0,22.0,0
2022-01-03 07:00:00,48,27.0,8.0,55.0,0
2022-01-03 08:00:00,196,102.0,20.0,172.0,1
2022-01-03 09:00:00,364,179.0,28.0,277.0,1
2022-01-03 10:00:00,389,221.0,33.0,336.5,1
2022-01-03 11:00:00,511,237.0,35.0,359.5,1
2022-01-03 12:00:00,510,228.0,33.0,343.5,1
2022-01-03 13:00:00,351,199.0,31.0,307.5,1
2022-01-03 14:00:00,357,193.0,31.0,301.5,1
2022-01-03 15:00:00,423,197.0,31.0,305.5,1
2022-01-03 16:00:00,282,192.0,27.0,286.5,0
2022-01-03 17:00:00,234,186.0,33.0,301.5,0
2022-01-03 18:00:00,177,159.0,31.0,267.5,0
2022-01-03 19:00:00,128,132.0,29.0,233.5,0
2022-01-03 20:00:00,155,120.0,30.0,225.0,0
2022-01-03 21:00:00,171,103.0,29.0,204.5,0
2022-01-03 22:00:00,128,60.0,16.0,116.0,1
2022-01-03 23:00:00,60,29.0,10.0,64.0,0
2022-01-04 00:00:00,32,12.0,4.5,27.75,1
2022-01-04 01:00:00,2,4.0,2.0,11.0,0
2022-01-04 02:00:00,4,3.0,1.0,6.5,0
2022-01-04 04:00:00,4,2.0,1.0,5.5,0
2022-01-04 05:00:00,3,2.0,1.0,5.5,0
2022-01-04 06:00:00,5,7.0,3.0,17.5,0
2022-01-04 07:00:00,36,28.0,9.0,59.5,0
2022-01-04 08:00:00,98,99.0,17.0,158.5,0
2022-01-04 09:00:00,201,175.0,29.0,276.5,0
2022-01-04 10:00:00,233,221.0,29.0,322.5,0
2022-01-04 11:00:00,271,238.0,33.0,353.5,0
2022-01-04 12:00:00,325,231.0,36.0,357.0,0
2022-01-04 13:00:00,209,197.0,29.0,298.5,0
2022-01-04 14:00:00,222,188.0,31.0,296.5,0
2022-01-04 15:00:00,364,194.0,32.0,306.0,1
2022-01-04 16:00:00,245,192.0,32.0,304.0,0
2022-01-04 17:00:00,205,173.0,30.0,278.0,0
2022-01-04 18:00:00,144,156.0,30.0,261.0,0
2022-01-04 19:00:00,110,133.0,33.0,248.5,0
2022-01-04 20:00:00,94,124.0,30.0,229.0,0
2022-01-04 21:00:00,113,104.0,26.0,195.0,0
2022-01-04 22:00:00,115,64.0,20.0,134.0,0
2022-01-04 23:00:00,41,29.0,10.0,64.0,0
2022-01-05 00:00:00,14,12.0,4.0,26.0,0
2022-01-05 01:00:00,14,5.0,2.0,12.0,1
2022-01-05 02:00:00,3,3.0,2.0,10.0,0
2022-01-05 03:00:00,3,2.0,1.0,5.5,0
2022-01-05 06:00:00,7,8.0,3.0,18.5,0
2022-01-05 07:00:00,12,25.0,7.0,49.5,0
