fecha,hora,ts,recibidos,tmo_seg,is_peak
2022-01-01,00:00:00,2022-01-01 00:00:00,5.0,260.0,0
2022-01-01,01:00:00,2022-01-01 01:00:00,8.0,242.0,0
2022-01-01,02:00:00,2022-01-01 02:00:00,3.0,204.0,0
2022-01-01,03:00:00,2022-01-01 03:00:00,5.0,240.0,0
2022-01-01,04:00:00,2022-01-01 04:00:00,2.0,121.0,0
2022-01-01,05:00:00,2022-01-01 05:00:00,3.0,292.0,0
2022-01-01,06:00:00,2022-01-01 06:00:00,3.0,154.0,0
2022-01-01,07:00:00,2022-01-01 07:00:00,9.0,257.0,0
2022-01-01,08:00:00,2022-01-01 08:00:00,18.0,324.0,0
2022-01-01,09:00:00,2022-01-01 09:00:00,39.0,266.0,0
2022-01-01,10:00:00,2022-01-01 10:00:00,59.0,293.0,0
2022-01-01,11:00:00,2022-01-01 11:00:00,94.0,250.0,0
2022-01-01,12:00:00,2022-01-01 12:00:00,100.0,277.0,0
2022-01-01,13:00:00,2022-01-01 13:00:00,107.0,278.0,0
2022-01-01,14:00:00,2022-01-01 14:00:00,163.0,226.0,0
2022-01-01,15:00:00,2022-01-01 15:00:00,191.25,258.0,1
2022-01-01,16:00:00,2022-01-01 16:00:00,185.25,270.0,1
2022-01-01,17:00:00,2022-01-01 17:00:00,185.75,255.0,1
2022-01-01,18:00:00,2022-01-01 18:00:00,219.5,245.0,1
2022-01-01,19:00:00,2022-01-01 19:00:00,175.0,232.0,1
2022-01-01,20:00:00,2022-01-01 20:00:00,190.0,236.0,1
2022-01-01,21:00:00,2022-01-01 21:00:00,175.25,249.0,1
2022-01-01,22:00:00,2022-01-01 22:00:00,120.25,296.0,1
2022-01-01,23:00:00,2022-01-01 23:00:00,67.25,287.0,1
2022-01-02,00:00:00,2022-01-02 00:00:00,35.0,287.0,1
2022-01-02,01:00:00,2022-01-02 01:00:00,22.0,280.0,1
2022-01-02,02:00:00,2022-01-02 02:00:00,11.0,309.0,1
2022-01-02,03:00:00,2022-01-02 03:00:00,10.0,236.0,1
2022-01-02,04:00:00,2022-01-02 04:00:00,5.5,240.0,1
2022-01-02,05:00:00,2022-01-02 05:00:00,5.5,238.0,1
2022-01-02,06:00:00,2022-01-02 06:00:00,10.0,210.0,1
2022-01-02,07:00:00,2022-01-02 07:00:00,29.5,246.0,1
2022-01-02,08:00:00,2022-01-02 08:00:00,75.75,268.0,1
2022-01-02,09:00:00,2022-01-02 09:00:00,140.5,261.0,1
2022-01-02,10:00:00,2022-01-02 10:00:00,188.75,264.0,1
2022-01-02,11:00:00,2022-01-02 11:00:00,172.0,289.0,1
2022-01-02,12:00:00,2022-01-02 12:00:00,186.0,295.0,1
2022-01-02,13:00:00,2022-01-02 13:00:00,178.0,277.0,1
2022-01-02,14:00:00,2022-01-02 14:00:00,157.25,283.0,1
2022-01-02,15:00:00,2022-01-02 15:00:00,147.0,279.0,1
2022-01-02,16:00:00,2022-01-02 16:00:00,155.25,321.0,1
2022-01-02,17:00:00,2022-01-02 17:00:00,173.25,281.0,1
2022-01-02,18:00:00,2022-01-02 18:00:00,232.0,345.0,1
2022-01-02,19:00:00,2022-01-02 19:00:00,237.5,311.0,1
2022-01-02,20:00:00,2022-01-02 20:00:00,224.5,296.0,1
2022-01-02,21:00:00,2022-01-02 21:00:00,209.0,301.0,1
2022-01-02,22:00:00,2022-01-02 22:00:00,133.0,291.0,1
2022-01-02,23:00:00,2022-01-02 23:00:00,60.5,259.0,1
2022-01-03,00:00:00,2022-01-03 00:00:00,19.0,243.0,0
2022-01-03,01:00:00,2022-01-03 01:00:00,12.0,309.0,0
2022-01-03,02:00:00,2022-01-03 02:00:00,5.0,252.0,0
2022-01-03,03:00:00,2022-01-03 03:00:00,5.0,276.0,0
2022-01-03,04:00:00,2022-01-03 04:00:00,1.0,,0
2022-01-03,05:00:00,2022-01-03 05:00:00,1.0,209.0,0
2022-01-03,06:00:00,2022-01-03 06:00:00,18.0,183.0,0
2022-01-03,07:00:00,2022-01-03 07:00:00,48.0,332.0,0
2022-01-03,08:00:00,2022-01-03 08:00:00,172.0,364.0,1
2022-01-03,09:00:00,2022-01-03 09:00:00,277.0,353.0,1
2022-01-03,10:00:00,2022-01-03 10:00:00,336.5,330.0,1
2022-01-03,11:00:00,2022-01-03 11:00:00,359.5,359.0,1
2022-01-03,12:00:00,2022-01-03 12:00:00,343.5,360.0,1
2022-01-03,13:00:00,2022-01-03 13:00:00,307.5,327.0,1
2022-01-03,14:00:00,2022-01-03 14:00:00,301.5,325.0,1
2022-01-03,15:00:00,2022-01-03 15:00:00,305.5,330.0,1
2022-01-03,16:00:00,2022-01-03 16:00:00,282.0,333.0,0
2022-01-03,17:00:00,2022-01-03 17:00:00,234.0,298.0,0
2022-01-03,18:00:00,2022-01-03 18:00:00,177.0,352.0,0
2022-01-03,19:00:00,2022-01-03 19:00:00,128.0,331.0,0
2022-01-03,20:00:00,2022-01-03 20:00:00,155.0,264.0,0
2022-01-03,21:00:00,2022-01-03 21:00:00,171.0,284.0,0
2022-01-03,22:00:00,2022-01-03 22:00:00,116.0,335.0,1
2022-01-03,23:00:00,2022-01-03 23:00:00,60.0,324.0,0
2022-01-04,00:00:00,2022-01-04 00:00:00,27.75,249.0,1
2022-01-04,01:00:00,2022-01-04 01:00:00,2.0,390.0,0
2022-01-04,02:00:00,2022-01-04 02:00:00,4.0,399.0,0
2022-01-04,04:00:00,2022-01-04 04:00:00,4.0,256.0,0
2022-01-04,05:00:00,2022-01-04 05:00:00,3.0,308.0,0
2022-01-04,06:00:00,2022-01-04 06:00:00,5.0,169.0,0
2022-01-04,07:00:00,2022-01-04 07:00:00,36.0,292.0,0
2022-01-04,08:00:00,2022-01-04 08:00:00,98.0,342.0,0
2022-01-04,09:00:00,2022-01-04 09:00:00,201.0,379.0,0
2022-01-04,10:00:00,2022-01-04 10:00:00,233.0,372.0,0
2022-01-04,11:00:00,2022-01-04 11:00:00,271.0,337.0,0
2022-01-04,12:00:00,2022-01-04 12:00:00,325.0,338.0,0
2022-01-04,13:00:00,2022-01-04 13:00:00,209.0,355.0,0
2022-01-04,14:00:00,2022-01-04 14:00:00,222.0,353.0,0
2022-01-04,15:00:00,2022-01-04 15:00:00,306.0,327.0,1
2022-01-04,16:00:00,2022-01-04 16:00:00,245.0,319.0,0
2022-01-04,17:00:00,2022-01-04 17:00:00,205.0,352.0,0
2022-01-04,18:00:00,2022-01-04 18:00:00,144.0,302.0,0
2022-01-04,19:00:00,2022-01-04 19:00:00,110.0,334.0,0
2022-01-04,20:00:00,2022-01-04 20:00:00,94.0,289.0,0
2022-01-04,21:00:00,2022-01-04 21:00:00,113.0,270.0,0
2022-01-04,22:00:00,2022-01-04 22:00:00,115.0,251.0,0
2022-01-04,23:00:00,2022-01-04 23:00:00,41.0,274.0,0
2022-01-05,00:00:00,2022-01-05 00:00:00,14.0,344.0,0
2022-01-05,01:00:00,2022-01-05 01:00:00,12.0,269.0,1
2022-01-05,02:00:00,2022-01-05 02:00:00,3.0,248.0,0
2022-01-05,03:00:00,2022-01-05 03:00:00,3.0,206.0,0
2022-01-05,06:00:00,2022-01-05 06:00:00,7.0,350.0,0
2022-01-05,07:00:00,2022-01-05 07:00:00,12.0,326.0,0
2022-01-05,08:00:00,2022-01-05 08:00:00,66.0,341.0,0
2022-01-05,09:00:00,2022-01-05 09:00:00,156.0,322.0,0
2022-01-05,10:00:00,2022-01-05 10:00:00,208.0,333.0,0
2022-01-05,11:00:00,2022-01-05 11:00:00,193.0,334.0,0
2022-01-05,12:00:00,2022-01-05 12:00:00,168.0,353.0,0
2022-01-05,13:00:00,2022-01-05 13:00:00,202.0,363.0,0
2022-01-05,14:00:00,2022-01-05 14:00:00,151.0,387.0,0
2022-01-05,15:00:00,2022-01-05 15:00:00,164.0,367.0,0
2022-01-05,16:00:00,2022-01-05 16:00:00,201.0,339.0,0
2022-01-05,17:00:00,2022-01-05 17:00:00,187.0,348.0,0
2022-01-05,18:00:00,2022-01-05 18:00:00,120.0,326.0,0
2022-01-05,19:00:00,2022-01-05 19:00:00,119.0,325.0,0
2022-01-05,20:00:00,2022-01-05 20:00:00,158.0,301.0,0
2022-01-05,21:00:00,2022-01-05 21:00:00,176.0,318.0,0
2022-01-05,22:00:00,2022-01-05 22:00:00,93.0,297.0,0
2022-01-05,23:00:00,2022-01-05 23:00:00,31.0,309.0,0
2022-01-06,00:00:00,2022-01-06 00:00:00,20.0,748.0,0
2022-01-06,01:00:00,2022-01-06 01:00:00,7.0,256.0,0
2022-01-06,02:00:00,2022-01-06 02:00:00,4.0,323.0,0
2022-01-06,05:00:00,2022-01-06 05:00:00,6.0,279.0,0
2022-01-06,06:00:00,2022-01-06 06:00:00,5.0,556.0,0
2022-01-06,07:00:00,2022-01-06 07:00:00,18.0,283.0,0
2022-01-06,08:00:00,2022-01-06 08:00:00,55.0,328.0,0
2022-01-06,09:00:00,2022-01-06 09:00:00,115.0,321.0,0
2022-01-06,10:00:00,2022-01-06 10:00:00,172.0,366.0,0
2022-01-06,11:00:00,2022-01-06 11:00:00,222.0,349.0,0
2022-01-06,12:00:00,2022-01-06 12:00:00,165.0,321.0,0
2022-01-06,13:00:00,2022-01-06 13:00:00,138.0,397.0,0
2022-01-06,14:00:00,2022-01-06 14:00:00,159.0,332.0,0
2022-01-06,15:00:00,2022-01-06 15:00:00,168.0,314.0,0
2022-01-06,16:00:00,2022-01-06 16:00:00,180.0,313.0,0
2022-01-06,17:00:00,2022-01-06 17:00:00,172.0,318.0,0
2022-01-06,18:00:00,2022-01-06 18:00:00,121.0,317.0,0
2022-01-06,19:00:00,2022-01-06 19:00:00,110.0,304.0,0
2022-01-06,20:00:00,2022-01-06 20:00:00,118.0,282.0,0
2022-01-06,21:00:00,2022-01-06 21:00:00,125.0,295.0,0
2022-01-06,22:00:00,2022-01-06 22:00:00,104.0,282.0,0
2022-01-06,23:00:00,2022-01-06 23:00:00,49.0,281.0,0
2022-01-07,00:00:00,2022-01-07 00:00:00,26.0,457.0,0
2022-01-07,01:00:00,2022-01-07 01:00:00,6.0,370.0,0
2022-01-07,02:00:00,2022-01-07 02:00:00,4.0,604.0,0
2022-01-07,03:00:00,2022-01-07 03:00:00,3.0,263.0,0
2022-01-07,04:00:00,2022-01-07 04:00:00,1.0,309.0,0
2022-01-07,05:00:00,2022-01-07 05:00:00,3.0,390.0,0
2022-01-07,06:00:00,2022-01-07 06:00:00,3.0,219.0,0
2022-01-07,07:00:00,2022-01-07 07:00:00,17.0,425.0,0
2022-01-07,08:00:00,2022-01-07 08:00:00,72.0,325.0,0
2022-01-07,09:00:00,2022-01-07 09:00:00,130.0,311.0,0
2022-01-07,10:00:00,2022-01-07 10:00:00,200.0,329.0,0
2022-01-07,11:00:00,2022-01-07 11:00:00,197.0,315.0,0
2022-01-07,12:00:00,2022-01-07 12:00:00,184.0,366.0,0
2022-01-07,13:00:00,2022-01-07 13:00:00,121.0,363.0,0
2022-01-07,14:00:00,2022-01-07 14:00:00,156.0,331.0,0
2022-01-07,15:00:00,2022-01-07 15:00:00,163.0,336.0,0
2022-01-07,16:00:00,2022-01-07 16:00:00,159.0,362.0,0
2022-01-07,17:00:00,2022-01-07 17:00:00,135.0,312.0,0
2022-01-07,18:00:00,2022-01-07 18:00:00,95.0,307.0,0
2022-01-07,19:00:00,2022-01-07 19:00:00,104.0,330.0,0
2022-01-07,20:00:00,2022-01-07 20:00:00,119.0,303.0,0
